frame,player1_x,player1_y,player2_x,player2_y
1201,728.2965698242188,232.82538986206055,1490.2315673828125,898.0391235351562
1202,733.5940246582031,233.7995376586914,1496.476318359375,896.5426940917969
1203,737.8753051757812,232.96540069580078,1510.4075927734375,894.3936767578125
1204,762.1608581542969,235.02880859375,1522.3352661132812,892.4852905273438
1206,772.7713317871094,236.79666137695312,1550.2078247070312,889.0083312988281
1239,694.2009887695312,226.8303985595703,1635.9525146484375,803.2236328125
1240,691.1988220214844,226.38816452026367,1635.44970703125,798.4360656738281
1241,688.75244140625,226.35346603393555,1634.376708984375,796.5046691894531
1242,686.2159118652344,226.68783569335938,1634.0213012695312,794.2878723144531
1243,678.2514953613281,226.33792114257812,1634.9957275390625,794.5609130859375
1247,666.2781066894531,226.73839569091797,1633.9156494140625,789.0896911621094
1248,662.1376342773438,227.2177963256836,1634.24267578125,788.1516418457031
1249,660.1133728027344,226.4190444946289,1633.5001831054688,787.11181640625
1250,656.7875061035156,225.8180694580078,1631.5828857421875,787.0915832519531
1251,650.9943237304688,224.14910888671875,1630.5399169921875,785.8362731933594
1252,649.1291809082031,223.0983543395996,1629.5597534179688,784.5074768066406
1253,645.9779357910156,224.91854095458984,1628.9771118164062,784.4420471191406
1254,641.5293579101562,225.99425888061523,1627.8484497070312,785.6551208496094
1255,637.7055969238281,224.20191192626953,1626.4730834960938,784.3539428710938
1256,635.6593322753906,222.20427703857422,1625.4561767578125,785.4387817382812
1257,631.6580200195312,221.48789978027344,1623.5526123046875,785.7518615722656
1258,629.2809448242188,221.75687408447266,1622.2225341796875,784.72998046875
1259,626.6496887207031,221.24305725097656,1619.3321533203125,784.5314636230469
1260,622.8275756835938,222.1020050048828,1617.4871826171875,784.1665649414062
1261,617.5491027832031,221.66171264648438,1616.5892333984375,782.6317443847656
1262,614.6023864746094,220.44495010375977,1615.4933471679688,782.619873046875
1263,610.4210510253906,220.5576934814453,1614.1885986328125,781.3917846679688
1264,606.4259338378906,218.62700653076172,1611.9195556640625,782.28515625
1265,604.5533447265625,217.24229049682617,1610.8178100585938,781.1780090332031
1266,601.2948913574219,218.83221817016602,1610.0780029296875,780.6131286621094
1267,597.3288269042969,216.32596969604492,1607.718505859375,779.6093444824219
1268,593.0869140625,216.76794815063477,1604.64453125,779.0664978027344
1269,588.9349670410156,215.62774276733398,1602.4843139648438,778.0658264160156
1270,583.8507995605469,213.8501968383789,1601.1941528320312,778.2835388183594
1271,581.4526672363281,215.05810165405273,1600.5997924804688,776.8524780273438
1272,578.4780578613281,215.5049057006836,1598.8999633789062,777.4421997070312
1273,574.2687377929688,214.26987838745117,1597.146240234375,776.8276062011719
1274,570.793212890625,213.76934814453125,1596.4339599609375,776.6722412109375
1275,568.1112518310547,213.17426300048828,1595.3408203125,776.6159973144531
1276,564.5318298339844,213.39003372192383,1593.8897094726562,776.4944458007812
1277,561.8919372558594,213.74946975708008,1593.1279907226562,776.4052734375
1278,558.1100158691406,211.5437469482422,1592.1964721679688,776.0447998046875
1279,553.9485168457031,210.9480438232422,1591.26904296875,775.4081420898438
1280,550.2309265136719,211.14025497436523,1589.1766967773438,775.7106323242188
1281,545.9847869873047,211.4023551940918,1587.3762817382812,775.93505859375
1282,540.1125030517578,206.6579933166504,1584.7142333984375,776.552490234375
1283,534.5373840332031,205.26586532592773,1583.4314575195312,776.3673400878906
1284,531.0806427001953,203.45184326171875,1582.6292114257812,776.2518005371094
1285,527.2989807128906,203.01329040527344,1581.1653442382812,775.5012512207031
1286,524.8992919921875,201.51159286499023,1579.8824462890625,775.4039611816406
1287,519.6396636962891,200.51256942749023,1578.2361450195312,774.8687133789062
